,GP,circuit,location,country,lap,position,lap_time_ms,code,name,lap_time
188,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,13,3,82928.0,VER,Max Verstappen,00:01:22.928000
189,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,14,3,83037.0,VER,Max Verstappen,00:01:23.037000
190,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,15,3,82737.0,VER,Max Verstappen,00:01:22.737000
191,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,16,3,82616.0,VER,Max Verstappen,00:01:22.616000
192,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,17,3,83118.0,VER,Max Verstappen,00:01:23.118000
193,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,18,3,82610.0,VER,Max Verstappen,00:01:22.610000
194,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,19,3,82581.0,VER,Max Verstappen,00:01:22.581000
195,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,20,3,83617.0,VER,Max Verstappen,00:01:23.617000
196,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,21,3,83453.0,VER,Max Verstappen,00:01:23.453000
197,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,22,3,82982.0,VER,Max Verstappen,00:01:22.982000
198,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,23,3,82550.0,VER,Max Verstappen,00:01:22.550000
199,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,24,3,82813.0,VER,Max Verstappen,00:01:22.813000
200,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,25,3,82448.0,VER,Max Verstappen,00:01:22.448000
201,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,26,3,82190.0,VER,Max Verstappen,00:01:22.190000
202,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,27,3,82596.0,VER,Max Verstappen,00:01:22.596000
203,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,28,3,82534.0,VER,Max Verstappen,00:01:22.534000
